abv,avail,avg_score,beer_name_og,brewery_og,category_og,city_og,ibu,num_of_ratings,state_og,style,style_og
5.00,Summer,3.69,Whirlwind Wit,Victory Brewing,Belgian and French Ale,Downingtown,-1,941,Pennsylvania,Belgian Witbier,Belgian-Style White
6.30,Year-round,3.77,Bent Nail IPA,Red Lodge Ales,North American Ale,Red Lodge,-1,162,Montana,American IPA,American-Style India Pale Ale
4.60,Year-round,3.73,Fat Belly Amber,Montana Brewing,North American Ale,Billings,20,22,Montana,English Dark Mild Ale,American-Style Amber/Red Ale
-1,Summer,4.39,WPA (Wheat Pale Ale),Minneapolis Town Hall Brewery,,Minneapolis,-1,5,Minnesota,American Pale Ale (APA),
4.70,Year-round,3.53,Crystal Ale,Big Sky Brewing,,Missoula,-1,41,Montana,German Kölsch,
5.10,Year-round,3.32,Export Ale,Shipyard Brewing - Portland,North American Ale,Portland,-1,973,Maine,American Blonde Ale,American-Style Pale Ale
5.20,Rotating,3.43,Hefe Weizen,Faultline Brewing #1,German Ale,Sunnyvale,-1,5,California,German Hefeweizen,South German-Style Hefeweizen
6.00,Limited (brewed once),3.6,Bobby,Odell Brewing,,Fort Collins,-1,15,Colorado,German Kölsch,
6.80,Limited (brewed once),4.04,Auld Acquaintance Spiced Ale,Pike Pub and Brewery,,Seattle,-1,1,Washington,Winter Warmer,
5.50,Rotating,0,Irish Stout,McMenamins Mill Creek,North American Ale,Mill Creek,-1,0,Washington,Irish Dry Stout,American-Style Stout
3.50,Rotating,3.5,Del Rio Lager,Skagit River Brewing,North American Lager,Mount Vernon,-1,6,Washington,American Light Lager,American-Style Lager
-1,Year-round,4.1,Vashon Old Stock Ale,Pacific Rim Brewing,,Seattle,-1,5,Washington,English Old Ale,
5.50,Year-round,3.58,Untouchable Pale Ale,Speakeasy Ales and Lagers,North American Ale,San Francisco,-1,145,California,American Pale Ale (APA),American-Style Pale Ale
5.50,Year-round,3.53,Best Bitter,Dick's Brewing,,Centralia,-1,38,Washington,English Bitter,
-1,Year-round,0,Masterpiece Porter,Stone Cellar Brewpub & Restaurant,Irish Ale,Appleton,-1,0,Wisconsin,American Porter,Porter
5.30,Year-round,3.54,Krooks Mill,Manayunk Brewery and Restaurant,North American Ale,Philadelphia,-1,27,Pennsylvania,American Pale Ale (APA),American-Style Pale Ale
4.30,Year-round,3.91,Irish Stout,Porterhouse Restaurant and Brewpub,North American Ale,Lahaska,-1,3,Pennsylvania,Irish Dry Stout,American-Style Stout
11.26,Limited (brewed once),4.24,Old Guardian Barley Wine 2005,Stone Brewing Co.,,Escondido,-1,124,California,American Barleywine,
4.70,Year-round,4.36,Special Ale,Porterhouse Restaurant and Brewpub,North American Ale,Lahaska,-1,1,Pennsylvania,American Amber / Red Ale,American-Style Amber/Red Ale
5.20,Year-round,3.98,Old Rogue Pale Ale,McKenzie Brew House,North American Ale,Glen Mills,-1,4,Pennsylvania,American Pale Ale (APA),American-Style Pale Ale
-1,Fall,2.28,Caramel Apple Ale,Olde Main Brewing,British Ale,Ames,-1,1,Iowa,American Cream Ale,English-Style Pale Mild Ale
5.00,Year-round,3.56,Ruth,Hair of the Dog Brewing,,Portland,40,642,Oregon,American Pale Ale (APA),
-1,Year-round,2.84,Mojave Red,Indian Wells Brewing,North American Lager,Inyokern,-1,82,California,American Amber / Red Lager,American-Style Lager
8.00,Year-round,3.72,Plaid Bastard,Grand Lake Brewing,British Ale,Grand Lake,-1,62,Colorado,Scotch Ale / Wee Heavy,Scotch Ale
6.40,Year-round,3.99,Old Town IPA,Tustin Brewing,North American Ale,Tustin,-1,42,California,American IPA,American-Style India Pale Ale
6.00,Year-round,3.9,Hope & King Scotch Ale,Minneapolis Town Hall Brewery,British Ale,Minneapolis,-1,183,Minnesota,Scotch Ale / Wee Heavy,Scotch Ale
-1,Year-round,0,Amber,La Jolla Brew House,North American Ale,La Jolla,-1,0,California,American Amber / Red Ale,American-Style Amber/Red Ale
9.91,Limited (brewed once),4.27,Old Guardian Barley Wine 2003,Stone Brewing Co.,,Escondido,-1,98,California,American Barleywine,
10.20,Rotating,3.88,Red Square,Port Brewing Company,North American Ale,San Marcos,-1,6,California,Russian Imperial Stout,American-Style Stout
7.60,Limited (brewed once),4.04,Belgian Abbey Red,Karl Strauss Brewery Gardens - Sorrento Mesa,,San Diego,-1,1,California,Belgian Dubbel,
5.43,Year-round,3.23,Burly Brown Ale,James Page Brewing,North American Ale,Minneapolis,-1,5,Minnesota,American Brown Ale,American-Style Brown Ale
9.50,Limited (brewed once),3.94,7th Anniversary IPA,Stone Brewing Co.,North American Ale,Escondido,-1,1802,California,American Imperial IPA,American-Style India Pale Ale
5.75,Year-round,3.8,Chief Blackhawk Porter,Tyranena Brewing,Irish Ale,Lake Mills,-1,364,Wisconsin,Robust Porter ,Porter
5.20,Year-round,3.79,Dubbel Dragon,Dragonmead Microbrewery,Belgian and French Ale,Warren,-1,22,Michigan,Belgian Dubbel,Other Belgian-Style Ales
-1,Year-round,3.23,Augsburger Dark,Stevens Point Brewery,North American Lager,Stevens Point,-1,16,Wisconsin,Munich Dunkel Lager,American-Style Lager
10.20,Rotating,3.77,Tripel Crown,Middle Ages Brewing,Belgian and French Ale,Syracuse,-1,123,New York,Belgian Tripel,Belgian-Style Tripel
-1,Year-round,3.31,Clearview Light,Zea Rotisserie and Brewery,,New Orleans,-1,10,Louisiana,German Kölsch,
5.00,Year-round,3.65,Pale Ale,Clipper City Brewing Co.,North American Ale,Baltimore,-1,76,Maryland,English Pale Ale,American-Style Pale Ale
5.80,Spring,3.45,Nut Brown Ale,Redhook Ale Brewery,North American Ale,Seattle,22,228,Washington,English Brown Ale,American-Style Brown Ale
-1,Year-round,2.36,Hefe Weiss,Cold Spring Brewing,North American Lager,Cold Spring,-1,3,Minnesota,German Hefeweizen,American-Style Lager
-1,Limited (brewed once),4.18,Steam Engine Common,Titletown Brewing,,Green Bay,-1,1,Wisconsin,California Common / Steam Beer,
5.00,Winter,3.61,Dark Lager,Victory Brewing,,Downingtown,-1,87,Pennsylvania,Munich Dunkel Lager,
5.50,Rotating,3.95,Harvest Ale,Gaslight Brewery,German Lager,South Orange,-1,1,New Jersey,American Amber / Red Ale,German-Style Oktoberfest
-1,Year-round,3.49,Saint Peter Pale Ale,Great Waters Brewing Company,North American Ale,Saint Paul,-1,39,Minnesota,American Pale Ale (APA),American-Style Pale Ale
-1,Year-round,2.55,Laughing Ass,Bricktown Brewery,North American Lager,Dubuque,-1,1,Iowa,American Light Lager,American-Style Lager
4.20,Rotating,3.54,Brown Fox Ale,Two Brothers Brewing,North American Ale,Warrenville,-1,77,Illinois,English Brown Ale,American-Style Pale Ale
6.50,Year-round,3.72,Stone of Scone Scotch Ale,Great Dane Pub and Brewing #1,,Madison,-1,88,Wisconsin,Scotch Ale / Wee Heavy,
6.50,Year-round,3.82,Steelhead Extra Stout,Mad River Brewing,North American Ale,Blue Lake,-1,2,California,Foreign / Export Stout,American-Style Stout
4.50,Rotating,3.51,Irish Red Ale,Iron Hill Brewery - Wilmingon,,Wilmington,35,14,Delaware,Irish Red Ale,
5.25,Year-round,3.41,Eastern Sierra Lager,Indian Wells Brewing,,Inyokern,-1,3,California,American Light Lager,
5.90,Year-round,4,Hoppy Hour IPA,Mash House Restaurant and Brewery,North American Ale,Fayetteville,-1,112,North Carolina,American IPA,American-Style India Pale Ale
7.75,Year-round,3.62,Mortality Stout,ReaperAle,North American Ale,Foothill Ranch,-1,140,California,Foreign / Export Stout,American-Style Stout
-1,Rotating,2.26,Honey Brown,O'Gara's Bar & Grill,North American Lager,Saint Paul,-1,1,Minnesota,English Brown Ale,American-Style Lager
5.90,Year-round,3.31,Amber Ale,San Marcos Brewery & Grill,North American Ale,San Marcos,-1,7,California,American Amber / Red Ale,American-Style Amber/Red Ale
5.20,Rotating,3.72,Spring Bock,Stevens Point Brewery,German Lager,Stevens Point,-1,32,Wisconsin,German Bock,Traditional German-Style Bock
-1,Rotating,3.74,Wooden Ships ESB,Great Dane Pub and Brewing #1,,Madison,-1,19,Wisconsin,English Extra Special / Strong Bitter (ESB),
4.00,Year-round,3.37,Scorpion Pale Ale,Moab Brewery,North American Ale,Moab,-1,42,Utah,American Pale Ale (APA),American-Style Pale Ale
-1,Year-round,3.65,Cat Tail Pale Ale,Backwater Brewing,North American Ale,Winona,-1,8,Minnesota,American Pale Ale (APA),American-Style Pale Ale
6.25,Year-round,3.77,Stein Bock,Stone City Brewing,German Lager,Solon,-1,4,Iowa,German Maibock,Traditional German-Style Bock
-1,Rotating,3.9,Coffee Ale,Great Dane Pub and Brewing #2,,Fitchburg,-1,4,Wisconsin,Scotch Ale / Wee Heavy,
5.50,Spring,3.73,Maifest,Millstream Brewing,German Lager,Amana,-1,35,Iowa,German Maibock,German-Style Oktoberfest
-1,Year-round,3.29,Weiss Beer,Crescent City Brewhouse,German Ale,New Orleans,-1,56,Louisiana,German Hefeweizen,South German-Style Hefeweizen
4.50,Year-round,4.11,Old Krogh Oatmeal Stout,Krogh's Restaurant and Brewpub,North American Ale,Sparta,-1,19,New Jersey,English Oatmeal Stout,American-Style Stout
5.90,Rotating,3.47,Indiana Pale Ale,Heartland Brewery Union Square,North American Ale,New York,-1,104,New York,American IPA,American-Style Pale Ale
-1,Rotating,4.2,Hard Times Lager,Victory Brewing,,Downingtown,-1,3,Pennsylvania,American Adjunct Lager,
6.50,Year-round,3.72,Stone of Scone Scotch Ale,Great Dane Pub and Brewing #2,British Ale,Fitchburg,-1,88,Wisconsin,Scotch Ale / Wee Heavy,Scotch Ale
5.50,Year-round,3.68,Yorkshire Stout,Trap Rock Restaurant and Brewery,North American Ale,Berkeley Heights,-1,1,New Jersey,English Oatmeal Stout,American-Style Stout
4.80,Year-round,3.34,Ghost Pony Helles Lager,Trap Rock Restaurant and Brewery,,Berkeley Heights,-1,30,New Jersey,German Helles,
-1,Rotating,3.98,St. Paul Pilsner,Rock Bottom Restaurant & Brewery - Minneapolis,,Minneapolis,-1,1,Minnesota,German Pilsner,
-1,Year-round,3.88,Quarry Rock Red,O'Hara's Brewpub and Restaurant,North American Ale,Saint Cloud,-1,1,Minnesota,American Amber / Red Ale,American-Style Amber/Red Ale
5.70,Year-round,3.43,Collapsar Oatmeal Stout,Empyrean Brewing Company,North American Ale,Lincoln,22,36,Nebraska,English Oatmeal Stout,American-Style Stout
6.20,Winter,3.8,Red Sled Winter Ale,Nebraska Brewing Company,,Papillion,-1,2,Nebraska,Winter Warmer,
7.60,Rotating,3.82,Warrior IPA,Left Hand Brewing Company,North American Ale,Longmont,-1,807,Colorado,American IPA,American-Style India Pale Ale
5.00,Year-round,3.73,Whitetail Wheat,Montana Brewing,North American Lager,Billings,16,21,Montana,American Pale Wheat Ale,American-Style Lager
4.80,Year-round,3.55,Brunette Nut Brown Ale,Nebraska Brewing Company,North American Ale,Papillion,15,300,Nebraska,English Brown Ale,American-Style Brown Ale
-1,Limited (brewed once),4.05,Anniversary Ale,Bandana Brewery,British Ale,Mankato,-1,2,Minnesota,English Dark Mild Ale,Old Ale
9.20,Rotating,3.76,Roza Reserve,Snipes Mountain Microbrewery & Restaurant,,Sunnyside,73,30,Washington,American Barleywine,
5.00,Year-round,3.5,Nut Brown Ale,South Shore Brewery,North American Ale,Ashland,-1,107,Wisconsin,English Brown Ale,American-Style Brown Ale
-1,Fall,4.3,Peat Smoked Altbier,Three Needs Brewery and Taproom,North American Lager,Burlington,-1,1,Vermont,German Altbier,American-Style Lager
8.50,Limited (brewed once),3.87,Vertical Epic 04.04.04,Stone Brewing Co.,,Escondido,-1,325,California,Belgian Strong Pale Ale,
5.50,Rotating,3.46,Four Brothers Pale Ale,Coronado Brewing Company,North American Ale,Coronado,-1,21,California,American Pale Ale (APA),American-Style Pale Ale
5.90,Year-round,3.5,Old English Ale,San Marcos Brewery & Grill,British Ale,San Marcos,-1,4,California,English Extra Special / Strong Bitter (ESB),Old Ale
5.30,Rotating,3.38,Downtown After Dark,Karl Strauss Brewery Gardens - Sorrento Mesa,North American Ale,San Diego,-1,12,California,English Brown Ale,American-Style Brown Ale
-1,Limited (brewed once),3.68,Imperial Stout,New Glarus Brewing Company,North American Ale,New Glarus,-1,40,Wisconsin,Russian Imperial Stout,American-Style Stout
-1,Rotating,2.32,Alt,Old Hat Brewery,North American Ale,Lawton,-1,5,Michigan,German Altbier,American-Style Brown Ale
-1,Year-round,3.63,Capital Brown Ale,Capital Brewery,North American Ale,Middleton,-1,70,Wisconsin,English Brown Ale,American-Style Brown Ale
6.20,Year-round,3.41,Pick Axe Pale Ale,Tommyknocker Brewery and Pub,North American Ale,Idaho Springs,-1,89,Colorado,American IPA,American-Style Pale Ale
5.80,Year-round,3.65,Best Bitter,Ship Inn Brewpub,,Milford,-1,22,New Jersey,English Bitter,
-1,Year-round,0,IPA,Bellows Brew Crew,North American Ale,Watertown,-1,0,Wisconsin,American IPA,American-Style India Pale Ale
-1,Year-round,0,Stout,Bellows Brew Crew,North American Ale,Watertown,-1,0,Wisconsin,American Stout,American-Style Stout
5.10,Rotating,3.49,Bison Brown,Gaslight Brewery,North American Ale,South Orange,-1,4,New Jersey,English Brown Ale,American-Style Brown Ale
6.10,Fall,3.34,Oktoberfest,Granite City Food & Brewery - Saint Cloud,German Lager,Saint Cloud,-1,52,Minnesota,German Märzen / Oktoberfest,German-Style Oktoberfest
6.00,Rotating,3.63,Porter,Nebraska Brewing Company,Irish Ale,Papillion,-1,3,Nebraska,Smoke Porter,Porter
5.50,Limited (brewed once),3.97,Christmas Ale 2007,Anchor Brewing,,San Francisco,-1,397,California,Winter Warmer,
4.75,Rotating,3.47,Irish Red,Nebraska Brewing Company,,Papillion,-1,11,Nebraska,Irish Red Ale,
5.50,Year-round,3.47,Danger Ale,Dick's Brewing,North American Ale,Centralia,-1,110,Washington,English Brown Ale,American-Style Brown Ale
5.50,Rotating,3.56,Steelie Brown Ale,Skagit River Brewing,North American Ale,Mount Vernon,-1,2,Washington,American Brown Ale,American-Style Brown Ale
5.20,Year-round,3.55,Beer Town Brown,BridgePort Brewing,North American Ale,Portland,-1,58,Oregon,English Brown Ale,American-Style Brown Ale
5.10,Year-round,3.42,Lunar Ale,Boulevard Brewing Company,North American Ale,Kansas City,14,240,Missouri,American Dark Wheat Ale,American-Style Brown Ale
5.50,Year-round,3.73,Epiphany Ale,Iron Springs Pub & Brewery,North American Ale,Fairfax,-1,40,California,American Amber / Red Ale,American-Style Amber/Red Ale
3.50,Year-round,2.8,Light Lager,McKenzie Brew House,North American Lager,Glen Mills,-1,25,Pennsylvania,American Light Lager,American-Style Lager
-1,Year-round,4.34,Eagle Lake Pale Ale,Bandana Brewery,North American Ale,Mankato,-1,3,Minnesota,American Pale Ale (APA),American-Style Pale Ale
5.50,Year-round,3.46,Honey Pilsner,South Shore Brewery,North American Lager,Ashland,-1,41,Wisconsin,American Lager,American-Style Lager
5.00,Year-round,0,Buccaneer Brown Ale,Ham's Restaurant and Brewhouse,North American Ale,Greenville,-1,0,North Carolina,English Brown Ale,American-Style Brown Ale
-1,Rotating,0,Old 395 Barleywine,San Diego Brewing,,San Diego,-1,0,California,American Barleywine,
-1,Year-round,4,Mission Gorge Porter,San Diego Brewing,Irish Ale,San Diego,-1,1,California,American Porter,Porter
10.20,Rotating,4.23,Bombshell Barleywine,Port Brewing Company,,San Marcos,-1,3,California,American Barleywine,
5.00,Year-round,1.89,Half Moon Gold,Northwoods Brewpub Grill,,Eau Claire,-1,7,Wisconsin,American Blonde Ale,
6.40,Rotating,3.13,Oktoberfest,Goose Island Beer Company - Fulton Street,German Lager,Chicago,-1,2,Illinois,German Märzen / Oktoberfest,German-Style Oktoberfest
5.70,Fall,3.46,Oktoberfest,Lakefront Brewery,German Lager,Milwaukee,-1,330,Wisconsin,German Märzen / Oktoberfest,German-Style Oktoberfest
4.00,Year-round,2.65,Edison Light Beer,New Century Brewing Company,North American Lager,Boston,-1,33,Massachusetts,American Light Lager,American-Style Lager
7.10,Fall,3.63,Hoptoberfest,Redhook Ale Brewery,German Lager,Seattle,-1,19,Washington,German Märzen / Oktoberfest,German-Style Oktoberfest
5.79,Year-round,3.63,American Pale Ale,"BBC Brewing Co., LLC",North American Ale,Louisville,55.2,294,Kentucky,American Pale Ale (APA),American-Style Pale Ale
5.00,Year-round,3.62,Special Amber,Sprecher Brewing,North American Lager,Glendale,-1,364,Wisconsin,Vienna Lager,American-Style Lager
9.40,Limited (brewed once),3.9,The Iron Tankard,Terrapin Beer Company,North American Ale,Athens,-1,64,Georgia,American Imperial Red Ale,American-Style Amber/Red Ale
-1,Year-round,3.57,Black Forest,Crescent City Brewhouse,,New Orleans,-1,70,Louisiana,Munich Dunkel Lager,
-1,Year-round,3.78,Dr. Hops Pale Ale,Idaho Brewing,,Idaho Falls,-1,3,Idaho,American Pale Ale (APA),
6.00,Year-round,4.04,Black Bavarian Lager,Sprecher Brewing,German Lager,Glendale,-1,955,Wisconsin,German Schwarzbier,German-Style Schwarzbier
-1,Year-round,3.47,Grist Mill Golden,Long Valley Pub & Brewery,North American Ale,Long Valley,-1,5,New Jersey,American Blonde Ale,American-Style Pale Ale
5.30,Year-round,3.63,Dark Ale,Black Toad Brewing Company,North American Lager,Chicago,-1,546,Illinois,English Brown Ale,American-Style Lager
5.50,Year-round,3.83,Crop Circle Wheat,Great Dane Pub and Brewing #2,German Ale,Fitchburg,-1,86,Wisconsin,German Hefeweizen,South German-Style Hefeweizen
-1,Rotating,3.91,Pirate Pale,Gaslight Brewery,North American Ale,South Orange,-1,4,New Jersey,English Pale Ale,American-Style Pale Ale
-1,Fall,3.27,Oktoberfest,Moosejaw Pizza & Dells Brewing Company,German Lager,Wisconsin Dells,-1,8,Wisconsin,German Märzen / Oktoberfest,German-Style Oktoberfest
4.50,Year-round,2.99,Staggering Elk,Estes Park Brewery,North American Lager,Estes Park,-1,35,Colorado,American Adjunct Lager,American-Style Lager
4.50,Rotating,3.64,Aud Blonde,Russian River Brewing,North American Ale,Santa Rosa,-1,408,California,American Blonde Ale,Golden or Blonde Ale
4.60,Rotating,3.6,Squirrel's Nut Brown,North Country Brewery,North American Ale,Slippery Rock,-1,27,Pennsylvania,American Brown Ale,American-Style Brown Ale
5.20,Rotating,3.95,Alt,The Cambridge House,German Ale,Granby,-1,4,Connecticut,German Altbier,German-Style Brown Ale/Altbier
7.20,Rotating,3.77,Otto's Weizenbock,Otto's Pub and Brewery,German Ale,State College,-1,4,Pennsylvania,German Weizenbock,South German-Style Weizenbock
5.00,Year-round,3.5,Wheatland Wheat,Michigan Brewing,North American Ale,Webberville,-1,45,Michigan,German Hefeweizen,American-Style Pale Ale
5.50,Rotating,3.74,Dead Leaf Green,Russian River Brewing,British Ale,Santa Rosa,-1,93,California,English Pale Ale,Special Bitter or Best Bitter
11.50,Limited (brewed once),4.22,Lust,Midnight Sun Brewing Co.,Belgian and French Ale,Anchorage,40,44,Alaska,Belgian Strong Dark Ale,Belgian-Style Dark Strong Ale
5.00,Summer,3.35,Zoomer,New Holland Brewing Company,Other Style,Holland,-1,128,Michigan,Belgian Witbier,Light American Wheat Ale or Lager
4.90,Rotating,3.63,Porter,South Shore Brewery,Irish Ale,Ashland,-1,6,Wisconsin,American Porter,Porter
5.40,Year-round,4.51,Otis Alt,Elk Grove Brewery & Restaurant,North American Ale,Elk Grove,-1,2,California,German Altbier,American-Style Brown Ale
5.50,Year-round,2.66,Arrogant Brit,Cheshire Cat Brewery,,Arvada,-1,1,Colorado,English Extra Special / Strong Bitter (ESB),
4.80,Year-round,3.83,West Bank Pub Ale,Minneapolis Town Hall Brewery,British Ale,Minneapolis,-1,62,Minnesota,English Bitter,Classic English-Style Pale Ale
11.00,Rotating,4.21,Czar Imperial Stout,Avery Brewing Company,North American Ale,Boulder,-1,22,Colorado,Russian Imperial Stout,American-Style Stout
-1,Year-round,3.98,Uptown Brown,Coronado Brewing Company,North American Ale,Coronado,-1,2,California,English Brown Ale,American-Style Brown Ale
4.50,Limited (brewed once),3.43,Grantville Gold,San Diego Brewing,,San Diego,-1,8,California,American Blonde Ale,
5.60,Rotating,3.61,Old Town Nut Brown,San Diego Brewing,North American Ale,San Diego,-1,17,California,American Brown Ale,American-Style Brown Ale
-1,Winter,0,Winter Wheat,San Marcos Brewery & Grill,,San Marcos,-1,0,California,American Dark Wheat Ale,
6.20,Spring,3.56,Heller Hound Bock Beer,Flying Dog Brewery,German Lager,Denver,-1,146,Colorado,German Maibock,German-Style Heller Bock/Maibock
7.00,Limited (brewed once),3.64,Bridgeport India Pale Ale,BridgePort Brewing,North American Ale,Portland,-1,3,Oregon,American IPA,American-Style India Pale Ale
5.20,Year-round,0,Scottish Ale,Aberdeen Brewing,,Valparaiso,-1,0,Indiana,Scottish Ale,
5.80,Year-round,3.24,Fuggles IPA,Shipyard Brewing - Portland,North American Ale,Portland,-1,1055,Maine,English India Pale Ale (IPA),American-Style India Pale Ale
8.10,Year-round,4.13,Big Bear Black Stout,Bear Republic Brewery,North American Ale,Healdsburg,-1,2437,California,American Imperial Stout,American-Style Imperial Stout
-1,Year-round,3.36,Dr. Hops Amber Ale,Idaho Brewing,North American Ale,Idaho Falls,-1,3,Idaho,American Amber / Red Ale,American-Style Amber/Red Ale
-1,Year-round,3.49,German Valley Amber,Long Valley Pub & Brewery,North American Ale,Long Valley,-1,26,New Jersey,American Amber / Red Ale,American-Style Amber/Red Ale
6.50,Rotating,3.69,Not Tonight Honey Porter,Heartland Brewery Union Square,Irish Ale,New York,-1,26,New York,American Porter,Porter
5.50,Rotating,3.48,Red Rooster Ale,Heartland Brewery Union Square,North American Ale,New York,-1,90,New York,American Amber / Red Ale,American-Style Amber/Red Ale
5.00,Year-round,2.99,Cornhusker Lager,Heartland Brewery Union Square,,New York,-1,58,New York,American Adjunct Lager,
-1,Year-round,3.61,British Nut Brown,Harvest Moon Brewery / Cafe,North American Ale,New Brunswick,-1,6,New Jersey,English Brown Ale,American-Style Brown Ale
-1,Year-round,3.78,Dunkel Lager,Moosejaw Pizza & Dells Brewing Company,,Wisconsin Dells,-1,11,Wisconsin,Munich Dunkel Lager,
5.00,Year-round,3.45,Pilsner,Moosejaw Pizza & Dells Brewing Company,North American Lager,Wisconsin Dells,-1,19,Wisconsin,German Pilsner,American-Style Lager
7.00,Rotating,3.61,Old Bastard,Great Waters Brewing Company,British Ale,Saint Paul,-1,6,Minnesota,English Old Ale,Old Ale
-1,Rotating,3.56,Victory Lager,Granite City Food & Brewery - Saint Cloud,North American Lager,Saint Cloud,-1,4,Minnesota,American Lager,American-Style Lager
-1,Limited (brewed once),0,Get Fuggled,Bricktown Brewery,,Dubuque,-1,0,Iowa,English Pale Ale,
6.50,Year-round,3.84,East Kent IPA,McKenzie Brew House,North American Ale,Glen Mills,-1,3,Pennsylvania,English India Pale Ale (IPA),American-Style India Pale Ale
-1,Year-round,4.19,Kasota IPA,Bandana Brewery,North American Ale,Mankato,-1,2,Minnesota,American IPA,American-Style India Pale Ale
5.86,Spring,3.5,Irish Red,Diamond Bear Brewing Co.,,Little Rock,-1,65,Arkansas,Irish Red Ale,
-1,Limited (brewed once),0,Wit,Barley John's Brewpub,,New Brighton,-1,0,Minnesota,Belgian Witbier,
-1,Year-round,3.31,High Point Dunkel,Herkimer Pub & Brewery,,Minneapolis,-1,7,Minnesota,German Dunkelweizen,
7.48,Limited (brewed once),3.83,2004 Symposium Ale,Stone Brewing Co.,,Escondido,-1,35,California,Belgian Strong Pale Ale,
9.10,Winter,3.84,The Hairy Eyeball,Lagunitas Brewing Company,,Petaluma,-1,2769,California,American Strong Ale,
6.10,Year-round,3.92,ESB,BridgePort Brewing,,Portland,-1,162,Oregon,English Extra Special / Strong Bitter (ESB),
8.30,Year-round,0,Roundabout Oatmeal Stout,Fifty Fifty Brewing Co.,British Ale,Truckee,-1,0,California,English Oatmeal Stout,Oatmeal Stout
-1,Year-round,3.58,Old 47 Ale,Slab City Brewing,North American Ale,Bonduel,-1,7,Wisconsin,American Pale Ale (APA),American-Style Pale Ale
-1,Year-round,3.05,Shawano Gold,Slab City Brewing,,Bonduel,-1,3,Wisconsin,German Kristalweizen,
-1,Limited (brewed once),3.76,Irish Red Ale,Water Street Brewery,North American Ale,Milwaukee,-1,1,Wisconsin,Irish Red Ale,American-Style Amber/Red Ale
-1,Rotating,3.94,Bitter Woman From Hell Extra IPA,Tyranena Brewing,North American Ale,Lake Mills,-1,73,Wisconsin,American IPA,American-Style India Pale Ale
4.70,Summer,3.17,SunRye,Redhook Ale Brewery,North American Lager,Seattle,-1,281,Washington,Rye Beer,American-Style Lager
5.70,Year-round,3.64,Bower City Pale Ale,Gray Brewing,North American Ale,Janesville,-1,15,Wisconsin,American Pale Ale (APA),American-Style Pale Ale
-1,Year-round,3.71,Bavarian Lager,Capital Brewery,,Middleton,-1,92,Wisconsin,German Helles,
6.00,Year-round,4.07,Bridge Out Stout,Titletown Brewing,North American Ale,Green Bay,-1,5,Wisconsin,American Stout,American-Style Stout
-1,Year-round,3.62,Porter,Catamount Brewing,Irish Ale,White River Junction,-1,5,Vermont,American Porter,Porter
-1,Rotating,3.52,Black River Brown,Long Valley Pub & Brewery,North American Ale,Long Valley,-1,8,New Jersey,English Brown Ale,American-Style Brown Ale
